date,EFA,Cleared Volume,EU Gas,gen_EFA,demand_EFA,gap,day_of_week,weekday_or_holiday,day_sin,day_cos,month_sin,month_cos,EFA_sin,EFA_cos,DW_sin,DW_cos,Average Temperature,price
2022-03-31 23:00:00,1,514,319.9,27859.0,27848.8125,10.1875,4,1,-2.4492935982947064e-16,1.0,1.0,6.123233995736766e-17,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.0,1.7
2022-04-01 03:00:00,2,507,319.9,31574.25,31416.666666666668,157.58333333333212,4,1,0.20129852008866,0.9795299412524944,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.0,8.96
2022-04-01 07:00:00,3,495,319.9,35715.5,35762.020833333336,-46.52083333333576,4,1,0.20129852008866,0.9795299412524944,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.75,4.89
2022-04-01 11:00:00,4,514,319.9,33566.875,33575.416666666664,-8.541666666664241,4,1,0.20129852008866,0.9795299412524944,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,3.6666666666666665,1.5
2022-04-01 15:00:00,5,508,319.9,36425.25,36349.35416666666,75.89583333333576,4,1,0.20129852008866,0.9795299412524944,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,-0.433883739117558,-0.9009688679024191,4.0,47.99
2022-04-01 19:00:00,6,326,319.9,33686.0,33828.145833333336,-142.14583333333576,4,1,0.20129852008866,0.9795299412524944,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.433883739117558,-0.9009688679024191,1.25,1.13
2022-04-01 23:00:00,1,334,319.9,27280.375,27307.70833333333,-27.33333333333212,5,0,0.20129852008866,0.9795299412524944,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.5,0.56
2022-04-02 03:00:00,2,370,319.9,27949.25,27874.33333333333,74.91666666666788,5,0,0.3943558551133185,0.9189578116202306,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.25,3.0
2022-04-02 07:00:00,3,430,319.9,30143.5,30158.979166666668,-15.47916666666788,5,0,0.3943558551133185,0.9189578116202306,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.9749279121818236,-0.2225209339563146,1.0,1.2
2022-04-02 11:00:00,4,468,319.9,29533.375,29549.666666666668,-16.29166666666788,5,0,0.3943558551133185,0.9189578116202306,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,4.666666666666667,1.5
2022-04-02 15:00:00,5,555,319.9,32630.75,32555.77083333333,74.97916666666788,5,0,0.3943558551133185,0.9189578116202306,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,-0.9749279121818236,-0.2225209339563146,5.333333333333333,12.11
2022-04-02 19:00:00,6,426,319.9,32121.0,32247.6875,-126.6875,5,0,0.3943558551133185,0.9189578116202306,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.9749279121818236,-0.2225209339563146,2.0,2.0
2022-04-02 23:00:00,1,335,319.9,26109.375,26122.1875,-12.8125,6,0,0.3943558551133185,0.9189578116202306,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,-0.75,0.55
2022-04-03 03:00:00,2,412,319.9,26513.625,26447.729166666668,65.89583333333212,6,0,0.5712682150947923,0.8207634412072763,0.8660254037844388,-0.4999999999999998,0.8660254037844388,-0.4999999999999998,-0.7818314824680299,0.6234898018587334,1.0,2.88
2022-04-03 07:00:00,3,509,319.9,28617.75,28611.291666666668,6.458333333332121,6,0,0.5712682150947923,0.8207634412072763,0.8660254037844388,-0.4999999999999998,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,3.25,1.49
2022-04-03 11:00:00,4,576,319.9,29752.375,29725.83333333333,26.54166666666788,6,0,0.5712682150947923,0.8207634412072763,0.8660254037844388,-0.4999999999999998,-0.8660254037844384,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,6.25,1.86
2022-04-03 15:00:00,5,541,319.9,33274.75,33182.9375,91.8125,6,0,0.5712682150947923,0.8207634412072763,0.8660254037844388,-0.4999999999999998,-0.8660254037844386,0.5,-0.7818314824680299,0.6234898018587334,6.5,47.98
2022-04-03 19:00:00,6,461,319.9,29914.0,30137.8125,-223.8125,6,0,0.5712682150947923,0.8207634412072763,0.8660254037844388,-0.4999999999999998,-2.4492935982947064e-16,1.0,-0.7818314824680299,0.6234898018587334,4.5,4.24
2022-04-03 23:00:00,1,584,319.2,24662.125,24643.666666666668,18.45833333333212,0,1,0.5712682150947923,0.8207634412072763,0.8660254037844388,-0.4999999999999998,0.8660254037844386,0.5000000000000001,0.0,1.0,5.25,2.2
