date,EFA,Cleared Volume,EU Gas,day_of_week,weekday_or_holiday,month_cos,EFA_sin,Average Temperature,price
2022/3/31 23:00,1,514,319.9,4,1,6.12e-17,0.866025404,0.0,1.7
2022/4/1 03:00,2,507,319.9,4,1,-0.5,0.866025404,0.0,8.96
2022/4/1 07:00,3,495,319.9,4,1,-0.5,1.22e-16,0.75,4.89
2022/4/1 11:00,4,514,319.9,4,1,-0.5,-0.866025404,3.6666666666666665,1.5
2022/4/1 15:00,5,508,319.9,4,1,-0.5,-0.866025404,4.0,47.99
2022/4/1 19:00,6,326,319.9,4,1,-0.5,-2.45e-16,1.25,1.13
2022/4/1 23:00,1,334,319.9,5,0,-0.5,0.866025404,0.5,0.56
2022/4/2 03:00,2,370,319.9,5,0,-0.5,0.866025404,0.25,3.0
2022/4/2 07:00,3,430,319.9,5,0,-0.5,1.22e-16,1.0,1.2
2022/4/2 11:00,4,468,319.9,5,0,-0.5,-0.866025404,4.666666666666667,1.5
2022/4/2 15:00,5,555,319.9,5,0,-0.5,-0.866025404,5.333333333333333,12.11
2022/4/2 19:00,6,426,319.9,5,0,-0.5,-2.45e-16,2.0,2.0
2022/4/2 23:00,1,335,319.9,6,0,-0.5,0.866025404,-0.75,0.55
2022/4/3 03:00,2,412,319.9,6,0,-0.5,0.866025404,1.0,2.88
2022/4/3 07:00,3,509,319.9,6,0,-0.5,1.22e-16,3.25,1.49
2022/4/3 11:00,4,576,319.9,6,0,-0.5,-0.866025404,6.25,1.86
2022/4/3 15:00,5,541,319.9,6,0,-0.5,-0.866025404,6.5,47.98
2022/4/3 19:00,6,461,319.9,6,0,-0.5,-2.45e-16,4.5,4.24
2022/4/3 23:00,1,584,319.2,0,1,-0.5,0.866025404,5.25,2.2
2022/4/4 03:00,2,631,319.2,0,1,-0.5,0.866025404,7.25,16.48
2022/4/4 07:00,3,416,319.2,0,1,-0.5,1.22e-16,8.5,5.0
2022/4/4 11:00,4,486,319.2,0,1,-0.5,-0.866025404,9.5,1.86
2022/4/4 15:00,5,519,319.2,0,1,-0.5,-0.866025404,10.0,60.0
2022/4/4 19:00,6,497,319.2,0,1,-0.5,-2.45e-16,9.0,3.61
